Feature,Importance
pm25_lag_1,0.8917867656650139
rolling_24,0.023817176802078652
hour,0.010925937587401065
pm25_lag_2,0.010319673970330234
pm25_lag_24,0.009431655848636008
rolling_6,0.007901542512636398
pm25_lag_12,0.007480168348441737
hour_cos,0.006845575765099778
pm25_lag_6,0.006674505979879498
rolling_3,0.0061559126363313005
pm25_lag_3,0.005662170887722142
month,0.004900420567461238
hour_sin,0.004486354720372636
dayofweek,0.0031949200389922053
is_weekend,0.00041721866960288086
