PC1,PC2,Cluster
1.665677104640147,-0.3272263558387138,1
1.350792670406834,-0.8398447027689252,1
1.4303662949633955,-1.2057202235380822,1
1.0900039968336994,-1.3441127050907284,1
1.1134548806421494,-1.4202404372727317,1
0.6239379499182693,-1.4473875368424811,1
1.162607251502941,-1.4624381693112782,1
1.8575969213220982,-1.4969128640659055,1
2.246894540620763,-1.4962398481318255,1
2.5096715898688817,-1.4354334176120744,1
2.1120558294825122,-1.3253749159107695,1
1.9725728349512721,1.1654881338629917,1
1.604755805278216,1.2992429148568068,1
1.2135079895915442,1.3790531350937802,1
0.4960235257655532,1.5055673793802924,1
0.03523898114093375,1.4301606897997814,1
-0.24971047427783044,1.3955895740290654,1
-0.3002940186676473,1.2029048380942104,1
-0.6848840528235297,0.9987122860730537,1
-0.9029762532516629,0.8515076555718081,1
-0.9276250176077222,0.6190941404207878,1
-0.8346306573205392,0.4005903865704876,1
-1.1639361311792755,0.07349955938456287,1
-1.5551327924098,-0.20354759115179194,0
-1.7590478972342558,-0.5607701561597956,0
-1.945723276754385,-0.8310125228666871,0
-2.1000331154138308,-1.199146191097876,0
-2.0861649537223976,-1.3568599321780732,0
-1.85431546020554,-1.5123953511716761,0
-1.7757696974931274,-1.4483107143694691,0
-1.850836222490416,-1.5412431250500913,0
-2.123792106495591,-1.533815549869015,0
-2.248484400268449,-1.5378771179111381,0
-2.4534284822001164,-1.3826173855386847,0
-2.4252416013788527,-1.2892600994842258,0
-2.643561697907812,1.5548811964743166,0
-2.4202695105006278,1.757847190273036,0
-2.3560961208915794,1.8511642975974756,0
-2.128839855774364,1.9357708675553313,0
-2.170391852885879,1.947489703044272,0
-1.380259538260065,1.9799775930181995,0
-0.7793129290607083,1.9863178805853088,1
0.17342693747268195,1.960476687076551,1
0.4865965759320429,1.71325253616836,1
0.4987261735831079,1.424636999887231,1
0.3521958189231714,0.9416827761096382,1
0.5707573850914677,0.562093782367501,1
0.8370004075656429,0.1291591012407635,1
0.7568818249645882,-0.1239390083307126,1
0.4095004020631018,-0.5101510360699041,1
0.08287502507273833,-0.7889080637057225,1
